Description,Brand,Rating,Price,Img url
Italiano fettucini 400gm,Italiano,4.7 out of 5 stars,EGP 16.45,"https://images-eu.ssl-images-amazon.com/images/I/71oyM0epm4L._AC_UL300_SR300,200_.jpg"
El matbakh el masry rice pasta - 400 gm,Unknown,4.5 out of 5 stars,EGP 10.00,"https://images-eu.ssl-images-amazon.com/images/I/81Qain4oaoL._AC_UL300_SR300,200_.jpg"
Al Doha Egyptian Rice-1 kg,Al Doha,4.6 out of 5 stars,EGP 43.25,"https://images-eu.ssl-images-amazon.com/images/I/71z7HgX8LFL._AC_UL300_SR300,200_.jpg"
Lametna vermicelli pasta pouch 1kg,Lametna,4.4 out of 5 stars,EGP 24.25,"https://images-eu.ssl-images-amazon.com/images/I/81uFYtmOwKL._AC_UL300_SR300,200_.jpg"
"Lavazza Ground Coffee Blend, QualitA Rossa, Arabica & Robusta - Medium Roast, 250 g",Lavazza,4.4 out of 5 stars,EGP 207.83,"https://images-eu.ssl-images-amazon.com/images/I/61T9CbooyzL._AC_UL300_SR300,200_.jpg"
"Basata Spaghetti Pasta,1 Kg",Basata,4.2 out of 5 stars,EGP 20.00,"https://images-eu.ssl-images-amazon.com/images/I/71P56EH17vL._AC_UL300_SR300,200_.jpg"
Heinz tomato paste - 360 gm,Unknown,4.4 out of 5 stars,EGP 21.00,"https://images-eu.ssl-images-amazon.com/images/I/51UwO-Nx0UL._AC_UL300_SR300,200_.jpg"
Rehana fine flour 1 kg,Rehana,4.6 out of 5 stars,EGP 24.25,"https://images-eu.ssl-images-amazon.com/images/I/61Isge10F0L._AC_UL300_SR300,200_.jpg"
Lipton Yellow Label Black Tea - 50 Tea Bags,Lipton,4.5 out of 5 stars,EGP 30.00,"https://images-eu.ssl-images-amazon.com/images/I/61VtS3mrZxL._AC_UL300_SR300,200_.jpg"
Nestle Water Carton of 12 bottles x1.5L,Nestlé Pure Life,4.3 out of 5 stars,EGP 65.00,"https://images-eu.ssl-images-amazon.com/images/I/81al-TBoNXL._AC_UL300_SR300,200_.jpg"
"Baraka Natural Water, Carton of 12 bottles x 1.5L",Baraka Natural Water,4.5 out of 5 stars,EGP 58.00,"https://images-eu.ssl-images-amazon.com/images/I/71u0+7vtRoL._AC_UL300_SR300,200_.jpg"
"NESCAFE 3in1 Original Pack of 18 g Pack of 24, Packaging May Vary",NESCAFÉ,4.4 out of 5 stars,EGP 96.95,"https://images-eu.ssl-images-amazon.com/images/I/81gows7eThL._AC_UL300_SR300,200_.jpg"
"Wafer Elite Bar dipped in chocolate, 90 gm - 10 pieces",Elite,4.0 out of 5 stars,EGP 12.95,"https://images-eu.ssl-images-amazon.com/images/I/71YdYmg60HL._AC_UL300_SR300,200_.jpg"
Al Doha Spaghetti Pasta - 400 gm,Al Doha,4.6 out of 5 stars,EGP 17.38,"https://images-eu.ssl-images-amazon.com/images/I/71bY3QN1EoL._AC_UL300_SR300,200_.jpg"
NESCAFE CLASSIC Sachet 200g,Unknown,4.6 out of 5 stars,EGP 161.00,"https://images-eu.ssl-images-amazon.com/images/I/717JFtQqxKL._AC_UL300_SR300,200_.jpg"
Venecia penne pasta pouch 400 grams,Unknown,4.5 out of 5 stars,EGP 14.00,"https://images-eu.ssl-images-amazon.com/images/I/71Ir868qmZL._AC_UL300_SR300,200_.jpg"
Nestle Coffee Mate Coffee Creamer - 400 G,Unknown,4.5 out of 5 stars,EGP 70.00,"https://images-eu.ssl-images-amazon.com/images/I/71Zn6cFj-jL._AC_UL300_SR300,200_.jpg"
"Miro Milk Powder Full Cream Box, 400 gm",Unknown,4.5 out of 5 stars,EGP 112.95,"https://images-eu.ssl-images-amazon.com/images/I/61cpJGG6csL._AC_UL300_SR300,200_.jpg"
"Lipton Yellow Label Dust Black Tea, 500G (Saving Pack)",Lipton,4.3 out of 5 stars,EGP 95.19,"https://images-eu.ssl-images-amazon.com/images/I/71T6XfKA9gL._AC_UL300_SR300,200_.jpg"
"Afia sunflower oil, 2.2 liters, 2200 millilitre",Unknown,4.6 out of 5 stars,EGP 187.50,"https://images-eu.ssl-images-amazon.com/images/I/717bE2MvISL._AC_UL300_SR300,200_.jpg"
"Safi water bottle, 600 ml - set of 20",Safi,4.1 out of 5 stars,EGP 69.95,"https://images-eu.ssl-images-amazon.com/images/I/518kKaGr-7L._AC_UL300_SR300,200_.jpg"
Nescafe Gold Stick pack of 25x1.8g,Unknown,4.5 out of 5 stars,EGP 70.00,"https://images-eu.ssl-images-amazon.com/images/I/815PSQG2bUL._AC_UL300_SR300,200_.jpg"
"Nescafe Classic Coffee Jar, 95g",Nescafe,4.5 out of 5 stars,EGP 91.95,"https://images-eu.ssl-images-amazon.com/images/I/61ODs8e5hwL._AC_UL300_SR300,200_.jpg"
Snickers miniatures chocolates - 150 gms,Snickers,4.4 out of 5 stars,EGP 84.95,"https://images-eu.ssl-images-amazon.com/images/I/61z0U+vQ8YL._AC_UL300_SR300,200_.jpg"
"Misr cafe instant coffee, 50gm",Misr Café,4.2 out of 5 stars,0,"https://images-eu.ssl-images-amazon.com/images/I/81hIzjIENzL._AC_UL300_SR300,200_.jpg"
Rehana golden basmati rice - 1 kg,Rehana,3.9 out of 5 stars,EGP 69.95,"https://images-eu.ssl-images-amazon.com/images/I/716Uu-u+3oL._AC_UL300_SR300,200_.jpg"
Knorr Chicken Stock 12 Cubes Promo,Unknown,4.5 out of 5 stars,EGP 10.00,"https://images-eu.ssl-images-amazon.com/images/I/61zTLpsDrvL._AC_UL300_SR300,200_.jpg"
"Misr Café Instant Karak Chai Tea with Creamer, Sugar and cardomom, 8 x 25g sachets",Unknown,4.4 out of 5 stars,EGP 58.00,"https://images-eu.ssl-images-amazon.com/images/I/81HmboufMML._AC_UL300_SR300,200_.jpg"
"Abu Auf Turkish meduim Plain Coffee, 200 gm",Abu Auf,4.3 out of 5 stars,EGP 90.00,"https://images-eu.ssl-images-amazon.com/images/I/81xNRy23JHL._AC_UL300_SR300,200_.jpg"
"Al Doha Egyptian Flour, 1 kg (Pack of 1)",Unknown,4.7 out of 5 stars,EGP 28.75,"https://images-eu.ssl-images-amazon.com/images/I/81RIRHWpo0L._AC_UL300_SR300,200_.jpg"
Twix minitures chocolate biscuits and caramel-150gm,Unknown,4.4 out of 5 stars,EGP 93.50,"https://images-eu.ssl-images-amazon.com/images/I/91gV+lJ0K3L._AC_UL300_SR300,200_.jpg"
El Arosa Tea Bags - 100 Bags,El Arosa,5.0 out of 5 stars,EGP 82.43,"https://images-eu.ssl-images-amazon.com/images/I/61V1kQcDT7L._AC_UL300_SR300,200_.jpg"
Lipton yellow label tea dust - 250 g (Pack of 1),Lipton,4.5 out of 5 stars,EGP 57.85,"https://images-eu.ssl-images-amazon.com/images/I/71iZcI4XhGL._AC_UL300_SR300,200_.jpg"
"Indomie Instant Noodles Chicken Flavour, 70 gm",Unknown,4.1 out of 5 stars,EGP 5.80,"https://images-eu.ssl-images-amazon.com/images/I/61ZlxKR3C6L._AC_UL300_SR300,200_.jpg"
Knorr Vegetable Stock 12 Cubes,Unknown,4.5 out of 5 stars,EGP 10.75,"https://images-eu.ssl-images-amazon.com/images/I/71PWgECmbsL._AC_UL300_SR300,200_.jpg"
LIPTON Yellow Label 100 Bags 200G,Lipton,4.6 out of 5 stars,EGP 73.41,"https://images-eu.ssl-images-amazon.com/images/I/71rwtwA7NoL._AC_UL300_SR300,200_.jpg"
Nestle Water Carton set of 20 bottle X 0.60 L,Nestle,4.4 out of 5 stars,EGP 75.00,"https://images-eu.ssl-images-amazon.com/images/I/71jfsVEvAYL._AC_UL300_SR300,200_.jpg"
Unknown,Unknown,3.6 out of 5 stars,0,"https://images-eu.ssl-images-amazon.com/images/I/71s8fp0wWXL._AC_UL300_SR300,200_.jpg"
Dobella Liquid Vanilla for Food - 30 ml,Dobella,4.2 out of 5 stars,EGP 14.50,"https://images-eu.ssl-images-amazon.com/images/I/61GUbGEyd8L._AC_UL300_SR300,200_.jpg"
Unknown,Unknown,4.2 out of 5 stars,0,"https://images-eu.ssl-images-amazon.com/images/I/81lc8BH2VyL._AC_UL300_SR300,200_.jpg"
Despacito Dark 85% Chocolate 80 gm,Unknown,4.5 out of 5 stars,EGP 65.00,"https://images-eu.ssl-images-amazon.com/images/I/81QdV7JjpTL._AC_UL300_SR300,200_.jpg"
Nestle Cartons Of 20 Water Bottles- 0.33 L,Nestle Pure Life,4.5 out of 5 stars,EGP 60.00,"https://images-eu.ssl-images-amazon.com/images/I/81BdvrlqPkL._AC_UL300_SR300,200_.jpg"
"Lipton Green Tea Mint, 25 teabags",Lipton,4.6 out of 5 stars,EGP 20.00,"https://images-eu.ssl-images-amazon.com/images/I/61O5--WQptL._AC_UL300_SR300,200_.jpg"
Abu auf coffee plain light-200 gm pack may vary,Abu Auf,4.3 out of 5 stars,EGP 94.75,"https://images-eu.ssl-images-amazon.com/images/I/71o+C1gqJiL._AC_UL300_SR300,200_.jpg"
Haj Arafa Yellow Lentil - 500 gm,Haj Arafa,4.2 out of 5 stars,EGP 33.00,"https://images-eu.ssl-images-amazon.com/images/I/611C-sq+ZjL._AC_UL300_SR300,200_.jpg"
"Indomie Instant Noodles Shrimps Flavour, 70 gm",Unknown,4.4 out of 5 stars,EGP 5.80,"https://images-eu.ssl-images-amazon.com/images/I/61vOK4ZsXQL._AC_UL300_SR300,200_.jpg"
Abu Auf Maamoul date (Box),Abu Auf,4.4 out of 5 stars,EGP 41.95,"https://images-eu.ssl-images-amazon.com/images/I/81M5fter8dL._AC_UL300_SR300,200_.jpg"
Slite Corn Oil - 2.25 L,Slite,4.6 out of 5 stars,EGP 204.50,"https://images-eu.ssl-images-amazon.com/images/I/51A+hUroYZL._AC_UL300_SR300,200_.jpg"
Knorr Beef Stock 12 Cubes,KNORR,4.5 out of 5 stars,EGP 11.40,"https://images-eu.ssl-images-amazon.com/images/I/91ESb0qCzQL._AC_UL300_SR300,200_.jpg"
Bakerdream Instant Dry Yeast 90 gm,BAKERDREAM,4.4 out of 5 stars,EGP 18.25,"https://images-eu.ssl-images-amazon.com/images/I/61V-xYJcCrL._AC_UL300_SR300,200_.jpg"
Unknown,Slite,4.6 out of 5 stars,0,"https://images-eu.ssl-images-amazon.com/images/I/71YSZo9nPVL._AC_UL300_SR300,200_.jpg"
Nescafe 3in1 rich pack of 12x21g,Nescafe,4.6 out of 5 stars,EGP 65.00,"https://images-eu.ssl-images-amazon.com/images/I/71DOy7ZCtKL._AC_UL300_SR300,200_.jpg"
Organo Natural Vinegar With 5% Acidity 900 ML - Clear,Organo,4.4 out of 5 stars,EGP 8.75,"https://images-eu.ssl-images-amazon.com/images/I/6134xyItbdL._AC_UL300_SR300,200_.jpg"
Unknown,Unknown,4.3 out of 5 stars,0,"https://images-eu.ssl-images-amazon.com/images/I/91JwPh4emtL._AC_UL300_SR300,200_.jpg"
Classic digestive wheat biscuits - 1 kg,Classic,4.5 out of 5 stars,EGP 80.00,"https://images-eu.ssl-images-amazon.com/images/I/81Wk0quXrfL._AC_UL300_SR300,200_.jpg"
"Royal anise herbs, 50 bags",Royal ,4.6 out of 5 stars,EGP 44.00,"https://images-eu.ssl-images-amazon.com/images/I/71eN3C0Jx-L._AC_UL300_SR300,200_.jpg"
Imtenan Parsley & celery tea 50filters,Unknown,4.8 out of 5 stars,EGP 82.50,"https://images-eu.ssl-images-amazon.com/images/I/71Y83GS2aWL._AC_UL300_SR300,200_.jpg"
V7 vitamin sparkling drink 100% natural flavors - blueberry 300ml,V7,4.0 out of 5 stars,EGP 14.00,"https://images-eu.ssl-images-amazon.com/images/I/81umqjvjFqL._AC_UL300_SR300,200_.jpg"
Cadbury Bubbly Chocolate Bar Multipack offer (140g),Cadbury,4.4 out of 5 stars,EGP 41.25,"https://images-eu.ssl-images-amazon.com/images/I/8188qPpy5sL._AC_UL300_SR300,200_.jpg"
Unknown,Lion,-1,0,"https://images-eu.ssl-images-amazon.com/images/I/71whvjnPciL._AC_UL300_SR300,200_.jpg"
